[2013-03-16 09:26:46] START
[2013-03-16 09:26:46] EDIT welcome/controllers/default.py: 2
[2014-08-19 05:16:42] EDIT PriceDropMaster/models/db.py: -21
[2014-08-19 05:38:14] EDIT PriceDropMaster/models/db.py: 1
[2014-08-19 05:38:20] EDIT PriceDropMaster/models/db.py: -1
[2014-08-19 05:40:33] EDIT PriceDropMaster/models/db.py: 1
[2014-08-19 05:42:49] EDIT PriceDropMaster/models/db.py: 2
[2014-08-19 05:45:53] EDIT PriceDropMaster/models/db.py: -3
[2014-08-19 09:31:50] EDIT PriceDropMaster/models/db.py: 3
[2014-08-19 09:52:24] EDIT PriceDropMaster/controllers/default.py: -53
[2014-08-19 09:53:26] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-19 09:58:59] EDIT PriceDropMaster/controllers/default.py: 3
[2014-08-19 10:03:22] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-19 10:03:56] EDIT PriceDropMaster/views/default/index.html: -30
[2014-08-19 10:15:27] EDIT PriceDropMaster/models/db.py: -1
[2014-08-19 10:16:13] EDIT PriceDropMaster/models/db.py: -2
[2014-08-19 10:16:15] EDIT PriceDropMaster/models/db.py: 0
[2014-08-19 12:47:37] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-19 12:47:51] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-19 13:27:23] EDIT PriceDropMaster/controllers/default.py: 4
[2014-08-20 02:33:48] EDIT PriceDropMaster/controllers/default.py: -1
[2014-08-22 09:44:48] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-22 09:45:31] CREATE testSpider.py: 0
[2014-08-22 10:15:02] EDIT PriceDropMaster/controllers/testSpider.py: 6
[2014-08-22 10:15:49] EDIT PriceDropMaster/controllers/testSpider.py: 0
[2014-08-22 10:15:52] EDIT PriceDropMaster/controllers/testSpider.py: 0
[2014-08-22 10:16:00] EDIT PriceDropMaster/controllers/testSpider.py: 1
[2014-08-22 10:16:36] EDIT PriceDropMaster/controllers/testSpider.py: 1
[2014-08-22 10:16:47] EDIT PriceDropMaster/controllers/testSpider.py: 0
[2014-08-22 10:17:21] CREATE targetItem.py: 0
[2014-08-22 10:17:50] EDIT PriceDropMaster/controllers/targetItem.py: 3
[2014-08-22 10:18:02] EDIT PriceDropMaster/controllers/default.py: -3
[2014-08-22 10:18:37] EDIT PriceDropMaster/controllers/testSpider.py: 0
[2014-08-22 10:19:21] EDIT PriceDropMaster/controllers/testSpider.py: -1
[2014-08-22 10:57:38] EDIT PriceDropMaster/controllers/testSpider.py: 4
[2014-08-22 11:09:47] EDIT PriceDropMaster/controllers/default.py: 2
[2014-08-22 11:11:07] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-22 11:16:08] EDIT PriceDropMaster/controllers/default.py: 2
[2014-08-22 11:20:09] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-22 11:20:43] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-22 11:21:15] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-22 11:21:19] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-22 11:23:45] EDIT PriceDropMaster/controllers/default.py: -2
[2014-08-22 11:24:45] EDIT PriceDropMaster/controllers/default.py: 2
[2014-08-22 11:26:22] EDIT PriceDropMaster/controllers/default.py: -2
[2014-08-22 11:26:50] EDIT PriceDropMaster/controllers/default.py: 13
[2014-08-22 11:27:48] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 12:54:53] UPLOAD C:/Users/Hang/Desktop/web2py/applications/PriceDropMaster/modules/targetItem.py: 4
[2014-08-25 12:55:02] UPLOAD C:/Users/Hang/Desktop/web2py/applications/PriceDropMaster/modules/testSpider.py: 12
[2014-08-25 12:55:12] DELETE PriceDropMaster/controllers/targetItem.py: -4
[2014-08-25 12:55:17] DELETE PriceDropMaster/controllers/testSpider.py: -12
[2014-08-25 12:55:39] EDIT PriceDropMaster/controllers/default.py: -11
[2014-08-25 12:55:44] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 12:56:05] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 16:43:52] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 16:44:56] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 16:47:17] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 16:53:04] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 16:54:47] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 16:54:55] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 16:55:20] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 16:55:55] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 17:44:23] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 17:44:24] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 17:46:39] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 17:46:49] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 17:47:02] EDIT PriceDropMaster/modules/testSpider.py: 0
[2014-08-25 17:47:12] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 17:56:23] EDIT PriceDropMaster/controllers/default.py: 2
[2014-08-25 17:57:35] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 17:59:17] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 18:01:06] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 18:06:55] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 18:09:12] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 18:09:44] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 18:09:59] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 18:10:07] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 18:10:09] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 18:30:48] EDIT PriceDropMaster/controllers/default.py: 4
[2014-08-25 18:31:43] EDIT PriceDropMaster/controllers/default.py: 4
[2014-08-25 19:24:19] EDIT PriceDropMaster/controllers/default.py: 17
[2014-08-25 19:30:03] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:30:09] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:31:35] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 19:37:07] EDIT PriceDropMaster/controllers/default.py: -14
[2014-08-25 19:37:12] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:37:43] EDIT PriceDropMaster/controllers/default.py: -3
[2014-08-25 19:37:45] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:38:53] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:39:27] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 19:39:37] EDIT PriceDropMaster/controllers/default.py: -1
[2014-08-25 19:40:19] EDIT PriceDropMaster/modules/testSpider.py: 0
[2014-08-25 19:40:23] EDIT PriceDropMaster/modules/testSpider.py: 0
[2014-08-25 19:44:57] EDIT PriceDropMaster/controllers/default.py: -1
[2014-08-25 19:46:44] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 19:50:53] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:51:09] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:51:31] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:52:49] EDIT PriceDropMaster/controllers/default.py: -1
[2014-08-25 19:54:17] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 19:56:12] EDIT PriceDropMaster/modules/testSpider.py: 0
[2014-08-25 19:56:19] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:56:23] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:56:51] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:57:41] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:58:30] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:58:36] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 19:59:54] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:01:02] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:04:19] EDIT PriceDropMaster/modules/testSpider.py: 1
[2014-08-25 20:05:47] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:06:29] EDIT PriceDropMaster/modules/testSpider.py: 0
[2014-08-25 20:07:50] EDIT PriceDropMaster/modules/testSpider.py: 1
[2014-08-25 20:08:10] EDIT PriceDropMaster/modules/testSpider.py: 0
[2014-08-25 20:08:12] EDIT PriceDropMaster/modules/testSpider.py: 0
[2014-08-25 20:08:20] EDIT PriceDropMaster/modules/testSpider.py: 0
[2014-08-25 20:08:25] EDIT PriceDropMaster/modules/testSpider.py: 0
[2014-08-25 20:09:50] EDIT PriceDropMaster/modules/testSpider.py: -1
[2014-08-25 20:10:16] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:11:10] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 20:12:03] EDIT PriceDropMaster/controllers/default.py: -1
[2014-08-25 20:18:47] EDIT PriceDropMaster/modules/testSpider.py: -1
[2014-08-25 20:18:58] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:21:03] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:21:05] EDIT PriceDropMaster/modules/testSpider.py: 0
[2014-08-25 20:29:09] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:32:47] EDIT PriceDropMaster/modules/testSpider.py: 1
[2014-08-25 20:32:55] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:35:20] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 20:35:24] EDIT PriceDropMaster/modules/testSpider.py: 0
[2014-08-25 20:36:03] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:36:07] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:40:25] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:41:19] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:41:42] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 20:41:46] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 21:43:24] EDIT PriceDropMaster/controllers/default.py: -14
[2014-08-25 21:46:26] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 21:46:35] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 21:50:43] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 21:50:48] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 21:57:45] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 22:04:55] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 22:12:56] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 22:13:17] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 22:14:28] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 22:31:03] EDIT PriceDropMaster/controllers/default.py: 3
[2014-08-25 22:33:59] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 22:34:04] EDIT PriceDropMaster/models/db.py: 0
[2014-08-25 22:39:23] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 22:39:41] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 22:40:03] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 22:40:59] CREATE default/price.html: 0
[2014-08-25 22:42:05] EDIT PriceDropMaster/views/default/price.html: 0
[2014-08-25 22:44:18] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 22:45:40] EDIT PriceDropMaster/views/default/price.html: 0
[2014-08-25 22:45:53] EDIT PriceDropMaster/views/default/price.html: 0
[2014-08-25 22:46:01] EDIT PriceDropMaster/views/default/price.html: -1
[2014-08-25 22:46:35] EDIT PriceDropMaster/views/default/price.html: 0
[2014-08-25 22:46:49] EDIT PriceDropMaster/views/default/price.html: 0
[2014-08-25 22:47:02] EDIT PriceDropMaster/views/default/price.html: 0
[2014-08-25 22:48:15] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 22:51:19] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 22:52:03] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 22:52:57] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 22:56:46] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 22:56:48] EDIT PriceDropMaster/views/default/price.html: 0
[2014-08-25 22:58:17] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 23:01:16] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 23:03:04] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 23:03:43] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 23:04:14] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 23:05:52] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 23:08:02] EDIT PriceDropMaster/controllers/default.py: -1
[2014-08-25 23:11:20] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 23:11:26] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-25 23:14:33] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-25 23:14:55] EDIT PriceDropMaster/controllers/default.py: -1
[2014-08-25 23:15:15] EDIT PriceDropMaster/controllers/default.py: -1
[2014-08-25 23:15:20] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-26 11:56:04] EDIT PriceDropMaster/controllers/default.py: 1
[2014-08-26 11:56:10] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-26 11:56:36] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-26 11:56:46] EDIT PriceDropMaster/controllers/default.py: -1
[2014-08-26 11:56:56] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-26 11:57:15] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-26 11:57:50] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-26 11:57:54] EDIT PriceDropMaster/controllers/default.py: 0
[2014-08-26 20:37:07] EDIT PriceDropMaster/views/default/price.html: 2
[2014-08-26 20:37:35] EDIT PriceDropMaster/views/default/price.html: 0
